Part	Bye-Law (No.)	Title	GazettePage	ApproxPdfIndex
I	—	Preliminary	169	3
II	1	Enabling Law, Application, Functions, Establishment of Departments	171	5
III	2	Registration of Marriages, Births and Deaths	179	12
IV	3	Motor Parks (Commercial Vehicles Picking-Up Passengers)	185	17
V	4	Environmental Sanitation, Premises Inspection, Dumping/Refuse, Health Offences	189	21
VI	5	Control of Advertisement	223	54
VII	6	Regulation of Mobile Advertisement	233	64
VIII	7	Stacking of Building Materials/Construction Permit	237	68
IX	8	Loading/Off-Loading Parking and Control of Traffic	241	72
X	9	Cutting of Road Tar	245	76
XI	10	Movement and Keeping of Dogs	247	78
XII	11	Numbering/Street Naming Regulation	251	82
XIII	12	Registration of Dry Cleaning and Laundry Houses	253	84
XIV	13	Market Regulation	255	86
XV	14	Trade License, Private Lockup Shop and Allied Matters	259	90
XVI	15	Radio and Television Licence	265	96
XVII	16	Tricycle (Keke) Commercial Motorcycle (Regulation and Control)	269	100
XVIII	17	Public Toilet	271	102
XIX	18	Pest Control	273	104
XX	19	Contractors	275	106
XXI	20	Tenement Rate Collection	277	108
XXII	21	Private Sector Participation Refuse Operation (PSPRO)	285	116
XXIII	22	Liquor Licensing	287	118
XXIV	23	Wrong Parking, Corporate Parking Permit/License	297	128
XXV	24	Foodstuff Regulations	301	132
XXVI	25	Regulated Premises (Hotels, Guest Inn, Restaurants, Bakeries, Dairies...)	309	140
